query,business_id
pizza on Sunday,kFh6iqCugNZ3Qpy4xVKQvA
pizza on Sunday,JF-nOfW4EcYQFtKiMpsYqg
pizza on Sunday,C2A2Vhcx9iuyHR9MXz44VQ
pizza on Sunday,kH_nttRxzlVJCCjIXDfXdw
pizza on Sunday,H9E_pV6dDe3-9epq_a4jfw
pizza on Sunday,cODvUuxMD_LTPu8ZS6zMXw
pizza on Sunday,sXSB0-xJGbBs6n5mfOhD3w
pizza on Sunday,SM8FwMK0BKRez1pp45ooVQ
pizza on Sunday,1kTcOEl38U92oUbBlOQORQ
pizza on Sunday,OThCf_WpfyqnSk95w_PaaQ
hotels with wifi in Austin,qCfn7BPCZ47dDsDzcXYwOg
hotels with wifi in Austin,eT1vtal-J3bWHnIk6ovBEw
hotels with wifi in Austin,U8fvkPeIgJETZj4jHeLPAQ
hotels with wifi in Austin,QuCVePqU6qTiuf2BJI48WQ
hotels with wifi in Austin,voJQO07-j9iGCc1dzdRPkg
hotels with wifi in Austin,mp0sS2TDdFH1uYsux76-xg
hotels with wifi in Austin,IWt5BPRhqJbNgr84cWEyQA
hotels with wifi in Austin,nTIhpR7MhsALPwg_Hh14EA
hotels with wifi in Austin,RXVs6OvUGWAETdyXgTK54Q
hotels with wifi in Austin,sQnW1dh_VXSIBOWYN59zTg
home services in Portland,3Bax3pLeep-EndYEnaMSgA
home services in Portland,SehYmUOueX66jdqdngpnOg
home services in Portland,kA5x7Beh-T12V_rjZt1_XQ
home services in Portland,Q_47Hc47D4WPa0h3Q1FsoQ
home services in Portland,FZBCQZ0aupQ9H-7bUADUxg
home services in Portland,NypG9rOO_xA1yWUxs9t0ng
home services in Portland,SaK_90RV3X6eUH5Vy2cZMg
home services in Portland,ttfjrhS97AxpLVReF2FlCA
home services in Portland,y3-k4OtIV3vhPirvmxRxWg
home services in Portland,cH8xqCJGZQ_25SPglBK6ag
cafes & restaurants for outdoor dining,BCLz7QvsxTvujQrytNBBOQ
cafes & restaurants for outdoor dining,EZFrejOgce-CdeJIit9JAg
cafes & restaurants for outdoor dining,Gd3_muKUwJYrMOyQMpzQ_A
cafes & restaurants for outdoor dining,ir04pkOvywc5VZ5KbPfLjg
cafes & restaurants for outdoor dining,Z7hLhRu1K9aTKw6TRwCASg
cafes & restaurants for outdoor dining,bk088-A4Po7cqX_1g04myw
cafes & restaurants for outdoor dining,ImJ9hPvvflSNTmI3Sc0ShA
cafes & restaurants for outdoor dining,CZSueXdlQePhrajduYDH5Q
cafes & restaurants for outdoor dining,ZqKZn2gPC1vdOCnT_jpJ1Q
cafes & restaurants for outdoor dining,6x_pqM4U0guRf3Q-fXrosw
kids gym,mpK5QkcmWUHuA95rqOPl9w
kids gym,Qs06yfvUufYFcrZJMTWeXw
kids gym,wUG5AL93ekblK9ewx6VELg
kids gym,NxxDJaTuiCwCbqHe5LBG6w
kids gym,d_Rvh4_juxXBmo-squ2x_g
kids gym,48FXauN10h9ttQM53zkZsQ
kids gym,wTBid_bYRigHAl6vNHYeOQ
kids gym,8H9DhkWnBAqKz0SiTPTJmw
kids gym,0EWIMYOwpvOAH4LDVRWLHQ
kids gym,L1fOQ4BVcFkA8PkKf7ihjw
Chinese restaurants with delivery,wfOm2Km25UvJabTk-Zmf2w
Chinese restaurants with delivery,UfIplrRvve7Z-ug1R9Sf4w
Chinese restaurants with delivery,bvKABibeLfpu0O9s-2OzWA
Chinese restaurants with delivery,NcJ4sbAos86BzfM6N2PVfA
Chinese restaurants with delivery,PKm6TcuPu3kW30hAnwR_gQ
Chinese restaurants with delivery,_i-ik7oyJYZGLDYUvbVlrQ
Chinese restaurants with delivery,zI32OMstDkS9JUB48WAafg
Chinese restaurants with delivery,TWOKfogA4x7KpnsYF3XvCw
Chinese restaurants with delivery,s6ogW6cZL1AcwdocExOM9Q
Chinese restaurants with delivery,e_N8ufif46NmpShvfqSd8w
full body spa,k1n_L9m6dV2VNS7zfwnXpw
full body spa,zsbqlQJgf63FE2Goxdc5DA
full body spa,CGErqMMvJHe3ys84bi6LyA
full body spa,eCF26w2agMBDPwbbqfS6VA
full body spa,2-i2Zx4QIrCDpEkqte8rYw
full body spa,cJlkOlKZHpEl_H2KERs9gw
full body spa,y5xD_yKVqKw86uXXfA2ehA
full body spa,I-SWyROaLSsRB2kiyheISQ
full body spa,1_foFlJVKBTeqf_aHmhqkw
full body spa,4lLyq3aDkPNMeuEdVjB_RA
chinese food with good servies,GwximQuUDxsW4FqWp2yXYQ
chinese food with good servies,JiL9S0RXX2HeLB3Nm6cEzw
chinese food with good servies,8Q1hGqLnL-wSQum-Ngj30g
chinese food with good servies,ZorYncxAhsAB5arury33jg
chinese food with good servies,tHcTQimgBc0Bj1JyuAPU3w
chinese food with good servies,cH7cem7DeOZfsbeKLFfZVg
chinese food with good servies,wLHLYa0DmjARl7tE2GSZdw
chinese food with good servies,_i-ik7oyJYZGLDYUvbVlrQ
chinese food with good servies,MG0e6lSAU-8qRYBUvTojEA
chinese food with good servies,kDPU0S75XLJ0vG3wmL6IlQ
salons with wifi,NSDZejGYUebxvUXiz8IY_A
salons with wifi,UHiQrqmXSqQH1NuSvFpwKg
salons with wifi,VEmfHpJOuGSeAfESP3Va7g
salons with wifi,bSbLEsVjHh4_4c7MEnj7pg
salons with wifi,fFoJtbo7K_7-NjJubxD4SA
salons with wifi,HjnhjhLYKTk0SJe79n9Ffw
salons with wifi,RxI59J7AwXaJgK0i4SrpgA
salons with wifi,zHMsnpMPanzRx-A6AwGSdw
salons with wifi,jElzizal71ZQTsNQ9HE_wg
salons with wifi,NxO_nIetY79b45wGwZCcEw
dental clinic without appointment,pAWeJRI6p4lOeiRpCc7aiQ
dental clinic without appointment,_l45ayJPN-TqlBlyUHnwGw
dental clinic without appointment,zPJgPPLvtBB83OzdhQ_Nrw
dental clinic without appointment,CiWbhaGhWvNk4RDaFXG8ew
dental clinic without appointment,BJTGhDd-eAqR3PLlmtMCHA
dental clinic without appointment,SuBuQXL26CCw2tSnMTmxRQ
dental clinic without appointment,4Z6cKOnoXd4_Y0O_3NMnIQ
