query,business_id
pizza on Sunday,Wwg52yz0OQx_PNB3VitKFg
pizza on Sunday,isxXZs7ag6f6HlusNi0VJQ
pizza on Sunday,c_rTiHiXpwP8d5VHHP2xMQ
pizza on Sunday,a-_Ok0FzZRYPkaI8Kw0neA
pizza on Sunday,qfnp0r-m9GAgo0S_Z5Pecw
pizza on Sunday,blDM0UCr0oYZzfrQn_GG5Q
pizza on Sunday,0y0v6OSxSsF9rakRsAQFdw
pizza on Sunday,oBNmT6I7zcSKhalvZvWgHg
pizza on Sunday,YisjMVqQVvOXulYfjSb9UA
pizza on Sunday,RqLy9DpOD_uwPrwH3NFP2A
hotels with wifi in Austin,qCfn7BPCZ47dDsDzcXYwOg
hotels with wifi in Austin,NZXz7RU4Y0Ufz-fvwzSXYA
hotels with wifi in Austin,weHc3Wk2uEnO3Qfea609fw
hotels with wifi in Austin,b24T5pX1SiuBkONxg4tusg
hotels with wifi in Austin,cR5goXVZ55-x_qBslQL9_A
hotels with wifi in Austin,IWt5BPRhqJbNgr84cWEyQA
hotels with wifi in Austin,EKGGs28-k7Yrd0HVg6OZXw
hotels with wifi in Austin,nTIhpR7MhsALPwg_Hh14EA
hotels with wifi in Austin,PP5gaWokwjIl-9W63s-5hg
hotels with wifi in Austin,VRm26ew0GFJVPVH06PZZHQ
home services in Portland,ttfjrhS97AxpLVReF2FlCA
home services in Portland,y3-k4OtIV3vhPirvmxRxWg
home services in Portland,neNEZex4w92PQO4JftOFFQ
home services in Portland,pvatKq5w-HcRSIE5g-PSZw
home services in Portland,ELwYHnPuzEeqbQ99lnzEaA
home services in Portland,3Bax3pLeep-EndYEnaMSgA
home services in Portland,Z1Ax9i16eIOznSpFUQVuyw
home services in Portland,pe8YKEovftxOyDgqJP2LNg
home services in Portland,E3qbCK59oXRM66V5wS0mrA
home services in Portland,DDfuIQStarPSNsVIXCUpkg
cafes & restaurants for outdoor dining,BCLz7QvsxTvujQrytNBBOQ
cafes & restaurants for outdoor dining,3RNWTBtAB-z9PFvfGmGPGQ
cafes & restaurants for outdoor dining,6x_pqM4U0guRf3Q-fXrosw
cafes & restaurants for outdoor dining,KPL4X2FiFeuS0sF0at425Q
cafes & restaurants for outdoor dining,aIa0T3ciTqE8wyRQ5o5Dew
cafes & restaurants for outdoor dining,hBY7mrJHALp6J0Xex7dM-g
cafes & restaurants for outdoor dining,TDqcXYb4Sy2X4m5q1Z2cKA
cafes & restaurants for outdoor dining,ImJ9hPvvflSNTmI3Sc0ShA
cafes & restaurants for outdoor dining,c5huGd2UwzDEsyaZ3bWm7Q
cafes & restaurants for outdoor dining,kmYutX-6Vo2EgvwAHU0c8w
kids gym,mpK5QkcmWUHuA95rqOPl9w
kids gym,Qs06yfvUufYFcrZJMTWeXw
